req_id,device_id,arrival_ms,deadline_ms
req-494,edge-0,1178.36,497.43
req-496,edge-3,1166.04,494.81
req-498,edge-5,1166.00,485.26
req-500,edge-9,1174.74,490.88
req-502,edge-1,1197.84,502.66
req-504,edge-2,1180.44,495.98
req-506,edge-4,1184.33,501.41
req-508,edge-8,1182.27,496.89
req-510,edge-0,1202.75,492.59
req-512,edge-2,1210.42,494.17
req-514,edge-8,1212.49,494.52
req-516,edge-1,1226.85,498.38
req-518,edge-2,1223.73,493.12
req-520,edge-3,1235.93,509.82
req-522,edge-0,1259.89,486.68
req-524,edge-1,1240.96,500.88
req-526,edge-2,1246.47,498.01
req-528,edge-3,1243.23,505.56
req-530,edge-6,1242.45,513.19
req-532,edge-1,1266.40,497.86
req-534,edge-2,1278.83,510.86
req-536,edge-3,1265.99,489.37
req-538,edge-4,1268.53,499.99
req-540,edge-5,1272.64,494.28
req-542,edge-6,1277.03,494.21
req-544,edge-7,1262.99,502.49
req-546,edge-1,1288.86,494.71
req-548,edge-3,1284.78,496.85
req-550,edge-0,1312.51,511.62
req-552,edge-1,1318.14,514.18
req-554,edge-3,1306.66,488.24
req-556,edge-6,1317.88,503.16
req-558,edge-8,1306.70,496.65
req-560,edge-9,1305.34,488.52
req-562,edge-0,1327.19,504.15
req-564,edge-1,1325.70,487.86
req-566,edge-3,1335.79,501.73
req-568,edge-0,1355.88,504.08
req-570,edge-3,1351.56,493.16
req-572,edge-1,1377.89,494.28
req-574,edge-2,1374.50,492.13
req-576,edge-3,1373.68,508.09
req-578,edge-4,1378.24,490.65
req-580,edge-1,1390.80,487.69
req-582,edge-3,1417.94,500.76
req-584,edge-4,1405.23,489.00
req-586,edge-5,1401.10,507.44
req-588,edge-9,1404.80,496.88
req-590,edge-3,1437.24,499.93
req-592,edge-5,1421.17,497.74
req-594,edge-6,1425.21,491.94
req-596,edge-0,1442.95,508.62
req-598,edge-3,1446.50,503.93
req-600,edge-8,1446.06,504.69
req-602,edge-0,1473.60,493.14
req-604,edge-3,1470.66,507.16
req-606,edge-7,1477.37,501.07
req-608,edge-2,1480.13,509.29
req-610,edge-4,1491.42,507.52
req-612,edge-0,1519.36,494.68
req-614,edge-2,1509.79,493.37
req-616,edge-3,1518.39,507.56
req-618,edge-8,1509.58,510.57
req-620,edge-3,1536.23,495.17
req-622,edge-8,1531.92,507.44
req-624,edge-1,1548.14,514.72
req-626,edge-2,1547.56,502.97
req-628,edge-3,1550.78,496.41
req-630,edge-5,1556.79,513.12
req-632,edge-9,1551.04,502.66
req-634,edge-1,1571.46,497.13
req-636,edge-3,1561.91,486.08
req-638,edge-4,1560.31,490.60
req-640,edge-1,1597.84,504.91
req-642,edge-4,1589.37,488.45
req-644,edge-0,1601.21,504.44
req-646,edge-1,1601.15,489.26
req-648,edge-2,1600.25,504.37
req-650,edge-5,1611.40,509.22
req-652,edge-0,1625.91,507.14
req-654,edge-1,1633.37,507.93
req-656,edge-2,1621.60,485.17
req-658,edge-5,1632.23,501.64
req-660,edge-7,1635.75,502.44
req-662,edge-1,1642.74,488.04
req-664,edge-6,1655.01,510.15
req-666,edge-1,1661.04,500.61
req-668,edge-2,1672.64,509.65
req-670,edge-3,1665.86,488.03
req-672,edge-7,1677.81,505.33
req-674,edge-0,1682.90,503.43
req-676,edge-6,1691.52,492.91
req-678,edge-1,1709.38,514.55
req-680,edge-2,1713.35,489.12
req-682,edge-8,1718.59,508.61
req-684,edge-1,1723.83,489.81
req-686,edge-4,1734.00,511.15
req-688,edge-6,1737.67,510.59
req-690,edge-8,1735.85,492.36
req-692,edge-0,1754.97,513.72
req-694,edge-2,1753.38,495.39
req-696,edge-3,1741.55,496.30
req-698,edge-6,1758.18,511.09
req-700,edge-8,1741.80,493.00
req-702,edge-0,1762.93,489.37
req-704,edge-1,1761.89,503.15
req-706,edge-2,1768.56,488.71
req-708,edge-6,1767.70,490.82
req-710,edge-1,1795.32,510.99
req-712,edge-2,1792.84,508.81
req-714,edge-4,1787.05,504.78
req-716,edge-5,1781.53,503.40
req-718,edge-1,1811.61,496.00
req-720,edge-4,1807.40,496.52
req-722,edge-8,1801.01,501.03
req-724,edge-0,1824.96,510.76
req-726,edge-2,1820.64,514.20
req-728,edge-5,1831.83,509.07
req-730,edge-5,1856.19,505.14
req-732,edge-9,1847.46,513.83
req-734,edge-0,1863.60,491.32
req-736,edge-2,1875.14,502.41
req-738,edge-3,1867.74,501.42
req-740,edge-1,1881.43,494.56
req-742,edge-4,1898.48,487.61
req-744,edge-5,1895.14,486.94
req-746,edge-7,1899.28,488.74
req-748,edge-4,1903.87,500.95
req-750,edge-6,1918.47,492.34
req-752,edge-1,1925.53,501.55
req-754,edge-4,1931.71,499.07
req-756,edge-5,1925.32,496.97
req-758,edge-6,1933.23,494.49
req-760,edge-0,1943.76,504.39
req-762,edge-1,1948.73,486.21
req-764,edge-4,1956.67,490.61
req-766,edge-6,1944.88,498.28
req-768,edge-0,1978.91,513.00
req-770,edge-2,1973.03,490.78
req-772,edge-3,1978.15,502.87
req-774,edge-9,1968.79,489.60
req-776,edge-0,1992.27,496.78
req-778,edge-1,1984.82,513.96
req-780,edge-2,1999.40,493.94
req-782,edge-3,1993.56,491.65
req-784,edge-5,1991.08,498.74
req-786,edge-6,1988.57,506.43
req-788,edge-0,2017.88,506.85
req-790,edge-2,2018.76,499.15
req-792,edge-4,2009.99,488.30
req-794,edge-5,2017.44,499.02
req-796,edge-6,2000.25,498.21
req-798,edge-7,2006.41,489.66
req-800,edge-2,2035.41,505.54
req-802,edge-3,2028.37,497.98
req-804,edge-5,2023.26,491.63
req-806,edge-6,2027.49,506.00
req-808,edge-8,2027.40,502.50
req-810,edge-0,2055.01,498.00
req-812,edge-1,2055.95,503.20
req-814,edge-3,2041.46,490.98
req-816,edge-4,2046.38,487.54
req-818,edge-6,2057.24,507.46
req-820,edge-8,2055.06,508.51
req-822,edge-9,2047.53,501.99
req-824,edge-0,2061.17,489.14
req-826,edge-1,2072.98,500.39
req-828,edge-3,2070.76,486.78
req-830,edge-4,2079.24,514.08
req-832,edge-6,2062.46,501.68
req-834,edge-8,2072.28,508.83
req-836,edge-9,2076.15,495.96
req-838,edge-1,2081.56,503.81
req-840,edge-3,2089.65,512.56
req-842,edge-6,2087.61,505.22
req-844,edge-9,2086.34,495.83
req-846,edge-2,2116.80,508.59
req-848,edge-3,2112.91,513.20
req-850,edge-5,2108.91,507.15
req-852,edge-1,2120.35,512.71
req-854,edge-2,2120.52,486.38
req-856,edge-4,2121.41,487.02
req-858,edge-5,2134.53,513.96
req-860,edge-0,2147.54,511.25
req-862,edge-1,2146.65,514.43
req-864,edge-3,2156.29,496.26
req-866,edge-0,2178.59,502.18
req-868,edge-1,2171.81,493.01
req-870,edge-2,2165.52,495.02
req-872,edge-3,2162.62,490.75
req-874,edge-5,2160.85,505.82
req-876,edge-9,2172.16,510.81
req-878,edge-1,2190.38,514.77
req-880,edge-3,2199.05,510.46
req-882,edge-4,2190.27,493.03
req-884,edge-0,2201.27,509.51
req-886,edge-1,2203.20,499.10
req-888,edge-2,2215.92,496.48
req-890,edge-0,2230.97,491.67
req-892,edge-1,2229.25,506.98
req-894,edge-3,2227.86,513.33
req-896,edge-4,2232.30,511.22
req-898,edge-6,2224.40,489.50
req-900,edge-5,2240.54,507.93
req-902,edge-9,2254.73,485.94
req-904,edge-1,2261.89,490.45
req-906,edge-2,2271.25,491.25
req-908,edge-3,2277.46,510.98
req-910,edge-7,2278.18,501.32
req-912,edge-9,2262.13,507.87
req-914,edge-1,2287.24,513.92
req-916,edge-2,2294.99,506.15
req-918,edge-3,2294.77,506.58
req-920,edge-4,2293.57,502.71
req-922,edge-8,2293.36,487.28
req-924,edge-9,2290.68,490.95
req-926,edge-0,2302.23,510.01
req-928,edge-3,2318.02,493.76
req-930,edge-9,2306.45,497.49
req-932,edge-0,2326.14,496.11
req-934,edge-1,2321.31,513.71
req-936,edge-3,2323.43,490.31
req-938,edge-5,2325.79,512.42
req-940,edge-6,2331.76,491.89
req-942,edge-8,2333.29,514.90
req-944,edge-0,2359.21,499.25
req-946,edge-1,2344.27,487.61
req-948,edge-2,2346.97,500.22
req-950,edge-3,2348.56,487.84
req-952,edge-4,2351.01,499.73
req-954,edge-6,2358.15,506.25
req-956,edge-2,2362.63,509.96
req-958,edge-4,2360.70,503.57
req-960,edge-5,2373.99,491.30
req-962,edge-1,2394.65,485.01
req-964,edge-2,2394.60,492.08
req-966,edge-3,2380.11,513.23
req-968,edge-4,2393.22,488.30
req-970,edge-9,2382.94,508.71
req-972,edge-1,2410.59,494.86
req-974,edge-2,2403.80,494.48
req-976,edge-3,2408.71,505.02
req-978,edge-4,2409.67,508.57
req-980,edge-5,2401.62,506.46
req-982,edge-6,2410.14,511.15
req-984,edge-8,2419.44,505.49
req-986,edge-0,2426.79,492.49
req-988,edge-1,2435.12,492.72
req-990,edge-3,2420.65,487.21
req-992,edge-8,2434.56,491.77
req-994,edge-9,2423.82,504.57
req-996,edge-3,2447.94,498.85
req-998,edge-0,2476.45,497.71
req-1000,edge-5,2465.60,509.24
req-1002,edge-6,2470.57,505.38
req-1004,edge-0,2499.55,507.37
req-1006,edge-1,2493.11,514.16
req-1008,edge-2,2480.36,508.53
req-1010,edge-3,2490.72,491.13
req-1012,edge-4,2480.24,510.23
req-1014,edge-6,2483.52,485.98
req-1016,edge-0,2511.66,506.78
req-1018,edge-1,2508.39,510.84
req-1020,edge-2,2511.78,506.66
req-1022,edge-0,2527.83,511.53
req-1024,edge-1,2520.81,493.25
req-1026,edge-2,2521.47,511.03
req-1028,edge-4,2529.32,492.75
req-1030,edge-7,2536.56,493.62
req-1032,edge-0,2559.14,506.26
req-1034,edge-1,2545.32,500.30
req-1036,edge-2,2548.65,503.74
req-1038,edge-3,2552.48,514.74
req-1040,edge-4,2550.41,509.47
req-1042,edge-6,2553.72,490.48
req-1044,edge-0,2579.85,502.22
req-1046,edge-1,2565.78,495.16
req-1048,edge-3,2573.35,514.76
req-1050,edge-0,2594.70,510.79
req-1052,edge-1,2599.63,495.18
req-1054,edge-4,2593.75,488.10
req-1056,edge-0,2637.02,508.53
req-1058,edge-1,2625.75,496.79
req-1060,edge-3,2626.63,504.77
req-1062,edge-4,2636.74,503.12
req-1064,edge-5,2639.63,498.44
req-1066,edge-6,2638.95,496.88
req-1068,edge-8,2633.72,500.43
req-1070,edge-2,2641.81,501.67
req-1072,edge-3,2652.76,514.90
req-1074,edge-5,2647.81,486.58
req-1076,edge-6,2653.91,508.83
req-1078,edge-7,2643.90,508.28
req-1080,edge-1,2677.94,506.53
req-1082,edge-2,2670.10,498.15
req-1084,edge-3,2679.36,507.60
req-1086,edge-5,2663.49,509.14
req-1088,edge-0,2683.37,491.71
req-1090,edge-1,2688.01,489.60
req-1092,edge-3,2696.01,506.13
req-1094,edge-5,2686.60,490.86
req-1096,edge-0,2716.22,497.46
req-1098,edge-1,2715.24,501.00
req-1100,edge-5,2711.04,488.86
req-1102,edge-6,2707.96,512.97
req-1104,edge-0,2723.41,491.93
req-1106,edge-3,2734.81,501.78
req-1108,edge-5,2725.70,513.64
req-1110,edge-7,2729.82,504.16
req-1112,edge-0,2744.56,499.00
req-1114,edge-1,2747.36,514.64
req-1116,edge-2,2751.36,508.73
req-1118,edge-3,2749.02,489.73
req-1120,edge-4,2749.67,501.26
req-1122,edge-6,2740.81,502.75
req-1124,edge-9,2751.32,493.07
req-1126,edge-4,2778.10,512.87
req-1128,edge-5,2763.24,496.59
req-1130,edge-8,2777.89,494.05
req-1132,edge-0,2784.05,492.54
req-1134,edge-1,2799.86,493.53
req-1136,edge-2,2796.87,506.55
req-1138,edge-3,2782.09,507.31
req-1140,edge-8,2796.54,498.83
req-1142,edge-0,2816.43,512.87
req-1144,edge-1,2806.93,495.88
req-1146,edge-2,2819.17,503.65
req-1148,edge-5,2816.29,490.49
req-1150,edge-8,2801.27,495.50
req-1152,edge-0,2830.93,487.78
req-1154,edge-1,2820.04,500.68
req-1156,edge-2,2832.22,504.83
req-1158,edge-4,2825.97,510.46
req-1160,edge-7,2829.63,506.99
req-1162,edge-9,2827.12,489.05
req-1164,edge-0,2851.48,511.88
req-1166,edge-1,2855.52,485.20
req-1168,edge-3,2846.36,495.45
req-1170,edge-4,2846.96,513.06
req-1172,edge-9,2852.74,497.70
req-1174,edge-1,2868.83,491.59
req-1176,edge-6,2879.13,485.19
req-1178,edge-7,2876.68,487.24
req-1180,edge-0,2882.39,496.09
req-1182,edge-2,2880.03,502.75
req-1184,edge-6,2882.74,505.12
req-1186,edge-0,2904.58,500.66
req-1188,edge-1,2904.96,485.08
req-1190,edge-2,2906.46,512.16
req-1192,edge-9,2908.31,503.16
req-1194,edge-0,2935.31,486.07
req-1196,edge-3,2928.42,498.91
req-1198,edge-4,2929.03,512.59
req-1200,edge-5,2923.52,514.72
req-1202,edge-1,2950.48,496.90
req-1204,edge-2,2956.84,486.95
req-1206,edge-7,2950.49,495.41
req-1208,edge-0,2961.41,494.97
req-1210,edge-1,2964.29,489.93
req-1212,edge-2,2968.48,494.17
req-1214,edge-4,2966.70,505.19
req-1216,edge-9,2960.91,497.78
req-1218,edge-1,2985.30,494.96
req-1220,edge-3,2983.34,491.05
req-1222,edge-6,2996.23,495.99
req-1224,edge-2,3012.98,513.33
req-1226,edge-5,3011.01,488.09
req-1228,edge-6,3014.64,514.76
req-1230,edge-0,3028.61,500.32
req-1232,edge-4,3023.25,510.17
req-1234,edge-0,3054.16,497.65
req-1236,edge-1,3059.89,494.18
req-1238,edge-3,3051.77,506.91
req-1240,edge-4,3048.82,485.79
req-1242,edge-6,3044.50,506.86
req-1244,edge-0,3072.82,507.69
req-1246,edge-2,3065.76,512.16
req-1248,edge-3,3071.81,485.56
req-1250,edge-8,3067.05,496.09
req-1252,edge-1,3095.84,513.93
req-1254,edge-2,3098.26,511.56
req-1256,edge-3,3097.78,504.55
req-1258,edge-1,3104.00,500.17
req-1260,edge-2,3111.98,488.70
req-1262,edge-3,3119.28,504.29
req-1264,edge-4,3105.79,500.92
req-1266,edge-6,3110.45,513.20
req-1268,edge-0,3122.65,500.29
req-1270,edge-2,3129.23,485.64
req-1272,edge-3,3137.53,503.15
req-1274,edge-9,3125.86,510.21
req-1276,edge-2,3142.33,492.74
req-1278,edge-4,3157.77,503.19
req-1280,edge-8,3142.95,507.68
req-1282,edge-0,3166.75,510.42
req-1284,edge-2,3169.43,497.15
req-1286,edge-3,3177.58,499.20
req-1288,edge-4,3162.13,490.47
req-1290,edge-5,3170.67,507.00
req-1292,edge-6,3170.88,505.27
req-1294,edge-2,3198.41,498.68
req-1296,edge-5,3190.50,512.74
req-1298,edge-6,3198.25,501.66
req-1300,edge-9,3188.58,504.47
req-1302,edge-1,3210.22,496.69
req-1304,edge-8,3213.13,501.25
req-1306,edge-9,3200.21,503.38
req-1308,edge-1,3234.90,503.29
req-1310,edge-0,3242.95,494.80
req-1312,edge-3,3255.58,487.94
req-1314,edge-4,3255.86,506.10
req-1316,edge-5,3244.33,514.18
req-1318,edge-0,3263.23,509.73
req-1320,edge-5,3269.71,506.95
req-1322,edge-6,3272.46,497.54
req-1324,edge-0,3296.68,495.05
req-1326,edge-1,3287.23,504.92
req-1328,edge-2,3295.12,492.64
req-1330,edge-3,3291.14,485.24
req-1332,edge-4,3289.53,494.27
req-1334,edge-6,3286.86,503.80
req-1336,edge-8,3285.80,501.95
req-1338,edge-0,3304.43,486.45
req-1340,edge-1,3318.65,506.63
req-1342,edge-3,3313.19,486.13
req-1344,edge-6,3305.75,500.72
req-1346,edge-7,3317.91,505.18
req-1348,edge-1,3321.72,498.36
req-1350,edge-2,3334.49,514.56
req-1352,edge-3,3326.35,509.67
req-1354,edge-0,3348.18,507.59
req-1356,edge-4,3341.87,494.15
req-1358,edge-7,3345.52,508.57
req-1360,edge-9,3346.38,500.07
req-1362,edge-0,3368.88,497.85
req-1364,edge-2,3376.85,505.87
req-1366,edge-5,3360.43,490.30
req-1368,edge-2,3395.58,511.08
req-1370,edge-3,3390.58,486.27
req-1372,edge-5,3382.87,500.96
req-1374,edge-6,3398.62,503.47
req-1376,edge-1,3419.35,514.07
req-1378,edge-2,3411.40,512.00
req-1380,edge-4,3403.94,501.40
req-1382,edge-0,3427.02,513.88
req-1384,edge-2,3420.44,508.04
req-1386,edge-4,3423.33,503.38
req-1388,edge-1,3444.08,510.14
req-1390,edge-2,3458.69,510.77
req-1392,edge-9,3453.71,495.72
req-1394,edge-3,3476.01,490.26
req-1396,edge-5,3470.88,499.08
req-1398,edge-7,3461.07,497.91
req-1400,edge-8,3469.95,505.40
req-1402,edge-0,3480.16,489.39
req-1404,edge-2,3482.63,514.06
req-1406,edge-7,3497.62,510.30
req-1408,edge-8,3487.22,506.84
req-1410,edge-0,3518.33,505.85
req-1412,edge-2,3507.00,486.05
req-1414,edge-3,3505.30,501.54
req-1416,edge-4,3504.59,491.84
req-1418,edge-6,3503.19,514.16
req-1420,edge-3,3521.27,505.33
req-1422,edge-4,3539.56,488.61
req-1424,edge-6,3529.46,498.30
req-1426,edge-0,3541.04,496.14
req-1428,edge-2,3558.19,493.52
req-1430,edge-3,3553.23,493.01
req-1432,edge-6,3559.35,490.49
req-1434,edge-7,3553.18,486.32
req-1436,edge-4,3562.48,494.79
req-1438,edge-5,3578.56,514.77
req-1440,edge-0,3589.78,510.14
req-1442,edge-1,3596.45,496.10
req-1444,edge-2,3594.40,485.27
req-1446,edge-5,3594.01,492.43
req-1448,edge-0,3606.99,510.47
req-1450,edge-2,3609.32,498.26
req-1452,edge-3,3614.92,514.70
req-1454,edge-5,3602.97,503.27
req-1456,edge-7,3605.46,485.36
req-1458,edge-0,3631.03,503.49
req-1460,edge-3,3638.21,488.77
req-1462,edge-4,3623.22,490.64
req-1464,edge-6,3638.14,505.65
req-1466,edge-9,3623.95,489.13
req-1468,edge-0,3655.61,487.10
req-1470,edge-1,3647.37,485.89
req-1472,edge-5,3652.04,508.04
req-1474,edge-7,3653.98,493.78
req-1476,edge-0,3676.81,504.26
req-1478,edge-1,3675.41,514.62
req-1480,edge-6,3662.43,508.70
req-1482,edge-8,3662.21,505.85
req-1484,edge-0,3688.99,507.86
req-1486,edge-2,3692.87,490.61
req-1488,edge-3,3681.46,514.73
req-1490,edge-7,3693.19,496.60
req-1492,edge-8,3695.02,504.75
req-1494,edge-9,3688.91,502.31
req-1496,edge-0,3706.90,490.08
req-1498,edge-1,3709.75,497.44
req-1500,edge-2,3713.54,489.59
req-1502,edge-7,3703.07,492.86
req-1504,edge-1,3729.26,493.84
req-1506,edge-2,3721.27,507.00
req-1508,edge-4,3721.09,513.23
req-1510,edge-5,3732.94,492.05
req-1512,edge-6,3736.88,514.10
req-1514,edge-2,3742.92,499.68
req-1516,edge-4,3748.37,514.82
req-1518,edge-7,3757.19,487.98
req-1520,edge-8,3742.02,506.46
req-1522,edge-0,3764.10,500.58
req-1524,edge-1,3778.31,490.51
req-1526,edge-4,3779.32,513.11
req-1528,edge-5,3760.74,511.28
req-1530,edge-0,3780.74,508.49
req-1532,edge-1,3792.46,494.48
req-1534,edge-0,3814.20,485.39
req-1536,edge-3,3800.94,490.73
req-1538,edge-6,3818.13,487.33
req-1540,edge-8,3814.58,514.39
req-1542,edge-0,3832.05,498.25
